"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"19",124528,"Adriana Francisca Johanna Maria ""Sjan"" van Dijk (-Huybrehts)","Female",28,170,64,"Netherlands","NED","1992 Summer",1992,"Summer","Barcelona","Archery","Archery Women's Team","None"
"20",124529,"Leendert Frans van Dis","Male",24,194,85,"Netherlands","NED","1968 Summer",1968,"Summer","Mexico City","Rowing","Rowing Men's Double Sculls","Silver"
"21",124530,"Maarten Menno Ulrich van Dis","Male",24,188,80,"Netherlands","NED","1960 Summer",1960,"Summer","Roma","Rowing","Rowing Men's Coxed Pairs","None"
"22",124531,"Pieta Roberta van Dishoeck","Female",28,178,75,"Netherlands","NED","2000 Summer",2000,"Summer","Sydney","Rowing","Rowing Women's Double Sculls","Silver"
"23",124531,"Pieta Roberta van Dishoeck","Female",28,178,75,"Netherlands","NED","2000 Summer",2000,"Summer","Sydney","Rowing","Rowing Women's Coxed Eights","Silver"
"24",124532,"Federico van Ditmar","Male",18,182,72,"Argentina","ARG","1988 Winter",1988,"Winter","Calgary","Alpine Skiing","Alpine Skiing Men's Super G","None"
"25",124532,"Federico van Ditmar","Male",18,182,72,"Argentina","ARG","1988 Winter",1988,"Winter","Calgary","Alpine Skiing","Alpine Skiing Men's Giant Slalom","None"
"26",124532,"Federico van Ditmar","Male",22,182,72,"Argentina","ARG","1992 Winter",1992,"Winter","Albertville","Alpine Skiing","Alpine Skiing Men's Super G","None"
"27",124532,"Federico van Ditmar","Male",22,182,72,"Argentina","ARG","1992 Winter",1992,"Winter","Albertville","Alpine Skiing","Alpine Skiing Men's Giant Slalom","None"
"28",124532,"Federico van Ditmar","Male",22,182,72,"Argentina","ARG","1992 Winter",1992,"Winter","Albertville","Alpine Skiing","Alpine Skiing Men's Slalom","None"
"29",124532,"Federico van Ditmar","Male",24,182,72,"Argentina","ARG","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Men's Super G","None"
"30",124532,"Federico van Ditmar","Male",24,182,72,"Argentina","ARG","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Men's Giant Slalom","None"
"31",124532,"Federico van Ditmar","Male",24,182,72,"Argentina","ARG","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Men's Slalom","None"
"32",124533,"Nicolas B. van Ditmar","Male",18,190,72,"Argentina","ARG","1984 Winter",1984,"Winter","Sarajevo","Alpine Skiing","Alpine Skiing Men's Downhill","None"
"33",124533,"Nicolas B. van Ditmar","Male",18,190,72,"Argentina","ARG","1984 Winter",1984,"Winter","Sarajevo","Alpine Skiing","Alpine Skiing Men's Giant Slalom","None"
"34",124533,"Nicolas B. van Ditmar","Male",18,190,72,"Argentina","ARG","1984 Winter",1984,"Winter","Sarajevo","Alpine Skiing","Alpine Skiing Men's Slalom","None"
"35",124534,"Gustaaf Lodewijk Gerhard ""Guus"" van Ditzhuyzen","Male",19,175,70,"Netherlands","NED","1928 Summer",1928,"Summer","Amsterdam","Rowing","Rowing Men's Coxed Eights","None"
"36",124535,"Johan ""Joop"" van Domselaar","Male",36,183,92,"Netherlands","NED","1964 Summer",1964,"Summer","Tokyo","Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","None"
"37",124535,"Johan ""Joop"" van Domselaar","Male",36,183,92,"Netherlands","NED","1964 Summer",1964,"Summer","Tokyo","Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres","None"
"38",124536,"Cornelis Theodorus Maria ""Kees"" Van Dongen","Male",55,175,70,"France","FRA","1932 Summer",1932,"Summer","Los Angeles","Art Competitions","Art Competitions Mixed Painting, Unknown Event","None"
"39",124536,"Cornelis Theodorus Maria ""Kees"" Van Dongen","Male",55,175,70,"France","FRA","1932 Summer",1932,"Summer","Los Angeles","Art Competitions","Art Competitions Mixed Painting, Unknown Event","None"
"40",124537,"Bas van Dooren","Male",27,172,59,"Netherlands","NED","2000 Summer",2000,"Summer","Sydney","Cycling","Cycling Men's Mountainbike, Cross-Country","None"
"41",124538,"Kamiel Frans Maria Van Dooren","Male",15,175,70,"Belgium","BEL","1952 Summer",1952,"Summer","Helsinki","Rowing","Rowing Men's Coxed Pairs","None"
"42",124539,"Annita van Doorn","Female",26,169,58,"Netherlands","NED","2010 Winter",2010,"Winter","Vancouver","Short Track Speed Skating","Short Track Speed Skating Women's 500 metres","None"
"43",124539,"Annita van Doorn","Female",26,169,58,"Netherlands","NED","2010 Winter",2010,"Winter","Vancouver","Short Track Speed Skating","Short Track Speed Skating Women's 1,000 metres","None"
"44",124539,"Annita van Doorn","Female",26,169,58,"Netherlands","NED","2010 Winter",2010,"Winter","Vancouver","Short Track Speed Skating","Short Track Speed Skating Women's 3,000 metres Relay","None"
"45",124540,"Marieke Birgitta van Doorn","Female",24,165,57,"Netherlands","NED","1984 Summer",1984,"Summer","Los Angeles","Hockey","Hockey Women's Hockey","Gold"
"46",124540,"Marieke Birgitta van Doorn","Female",28,165,57,"Netherlands","NED","1988 Summer",1988,"Summer","Seoul","Hockey","Hockey Women's Hockey","Bronze"
"47",124541,"Pieter ""Peter"" van Doorn","Male",26,183,85,"Netherlands","NED","1972 Summer",1972,"Summer","Munich","Cycling","Cycling Men's Sprint","None"
"48",124541,"Pieter ""Peter"" van Doorn","Male",26,183,85,"Netherlands","NED","1972 Summer",1972,"Summer","Munich","Cycling","Cycling Men's 1,000 metres Time Trial","None"
"49",124541,"Pieter ""Peter"" van Doorn","Male",26,183,85,"Netherlands","NED","1972 Summer",1972,"Summer","Munich","Cycling","Cycling Men's Tandem Sprint, 2,000 metres","None"
"50",124542,"Johanna Wilhelmina Theresia ""Anny"" van Doorne","Female",42,175,70,"Netherlands","NED","1972 Summer",1972,"Summer","Munich","Equestrianism","Equestrianism Mixed Dressage, Individual","None"
"51",124542,"Johanna Wilhelmina Theresia ""Anny"" van Doorne","Female",42,175,70,"Netherlands","NED","1972 Summer",1972,"Summer","Munich","Equestrianism","Equestrianism Mixed Dressage, Team","None"
"52",124543,"Jersey Robin Jan van Doornspeek","Male",23,180,76,"Netherlands","NED","2004 Summer",2004,"Summer","Athina","Baseball","Baseball Men's Baseball","None"
"53",124544,"Charles Van Doorselaer","Male",25,175,70,"Belgium","BEL","1920 Summer",1920,"Summer","Antwerpen","Cycling","Cycling Men's Team Pursuit, 4,000 metres","None"
"54",124545,"Arthur Van Doren","Male",21,178,74,"Belgium","BEL","2016 Summer",2016,"Summer","Rio de Janeiro","Hockey","Hockey Men's Hockey","Silver"
"55",124546,"Alfred Carel ""Fred"" van Dorp","Male",21,190,95,"Netherlands","NED","1960 Summer",1960,"Summer","Roma","Water Polo","Water Polo Men's Water Polo","None"
"56",124546,"Alfred Carel ""Fred"" van Dorp","Male",25,190,95,"Netherlands","NED","1964 Summer",1964,"Summer","Tokyo","Water Polo","Water Polo Men's Water Polo","None"
"57",124546,"Alfred Carel ""Fred"" van Dorp","Male",29,190,95,"Netherlands","NED","1968 Summer",1968,"Summer","Mexico City","Water Polo","Water Polo Men's Water Polo","None"
"58",124547,"Anton Ludwig ""Tony"" Van Dorp","Male",28,196,91,"United States","USA","1964 Summer",1964,"Summer","Tokyo","Water Polo","Water Polo Men's Water Polo","None"
"59",124547,"Anton Ludwig ""Tony"" Van Dorp","Male",32,196,91,"United States","USA","1968 Summer",1968,"Summer","Mexico City","Water Polo","Water Polo Men's Water Polo","None"
"60",124548,"Wianka van Dorp","Female",28,177,72,"Netherlands","NED","2016 Summer",2016,"Summer","Rio de Janeiro","Rowing","Rowing Women's Coxed Eights","None"
"61",124549,"Yvonne van Dorp","Female",22,175,60,"Netherlands","NED","1988 Summer",1988,"Summer","Seoul","Athletics","Athletics Women's 400 metres","None"
"62",124550,"R. Van Dorpe","Male",25,175,70,"Belgium","BEL","1932 Summer",1932,"Summer","Los Angeles","Art Competitions","Art Competitions Mixed Architecture, Unknown Event","None"
"63",124551,"Jan Leendert van Dort","Male",30,175,70,"Netherlands","NED","1920 Summer",1920,"Summer","Antwerpen","Football","Football Men's Football","Bronze"
"64",124552,"Meike van Driel","Female",24,175,70,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Rowing","Rowing Women's Quadruple Sculls","None"
"65",124553,"Jaak Van Driessche","Male",23,199,97,"Belgium","BEL","1992 Summer",1992,"Summer","Barcelona","Rowing","Rowing Men's Coxless Pairs","None"
"66",124553,"Jaak Van Driessche","Male",27,199,97,"Belgium","BEL","1996 Summer",1996,"Summer","Atlanta","Rowing","Rowing Men's Coxless Pairs","None"
"67",124554,"Maria ""Marieke"" van Drogenbroek","Female",19,187,76,"Netherlands","NED","1984 Summer",1984,"Summer","Los Angeles","Rowing","Rowing Women's Coxed Fours","None"
"68",124554,"Maria ""Marieke"" van Drogenbroek","Female",19,187,76,"Netherlands","NED","1984 Summer",1984,"Summer","Los Angeles","Rowing","Rowing Women's Coxed Eights","Bronze"
"69",124555,"Gerrit van Duffelen","Male",38,175,70,"Netherlands","NED","1928 Summer",1928,"Summer","Amsterdam","Art Competitions","Art Competitions Mixed Painting, Paintings","None"
"70",124556,"Bastiaan Adrianus ""Bas"" van Duivenbode","Male",20,182,71,"Netherlands","NED","1960 Summer",1960,"Summer","Roma","Boxing","Boxing Men's Light-Middleweight","None"
"71",124557,"Maarten Hendrik van Dulm","Male",44,175,70,"Netherlands","NED","1924 Summer",1924,"Summer","Paris","Fencing","Fencing Men's Sabre, Individual","None"
"72",124557,"Maarten Hendrik van Dulm","Male",44,175,70,"Netherlands","NED","1924 Summer",1924,"Summer","Paris","Fencing","Fencing Men's Sabre, Team","Bronze"
"73",124557,"Maarten Hendrik van Dulm","Male",48,175,70,"Netherlands","NED","1928 Summer",1928,"Summer","Amsterdam","Fencing","Fencing Men's Sabre, Team","None"
"74",124558,"Marcie Van Dusen","Female",26,165,55,"United States","USA","2008 Summer",2008,"Summer","Beijing","Wrestling","Wrestling Women's Lightweight, Freestyle","None"
"75",124559,"Willem Paul ""Wim"" van Duyl","Male",28,189,90,"Joy","NED","1948 Summer",1948,"Summer","London","Sailing","Sailing Mixed Three Person Keelboat","None"
"76",124559,"Willem Paul ""Wim"" van Duyl","Male",32,189,90,"Thalatta","NED","1952 Summer",1952,"Summer","Helsinki","Sailing","Sailing Mixed Three Person Keelboat","None"
"77",124559,"Willem Paul ""Wim"" van Duyl","Male",40,189,90,"Trintel II","NED","1960 Summer",1960,"Summer","Roma","Sailing","Sailing Mixed Three Person Keelboat","None"
"78",124559,"Willem Paul ""Wim"" van Duyl","Male",44,189,90,"Barco Deloro","NED","1964 Summer",1964,"Summer","Tokyo","Sailing","Sailing Mixed Three Person Keelboat","None"
"79",124560,"Carl Van Duyne, III","Male",22,173,77,"United States","USA","1968 Summer",1968,"Summer","Mexico City","Sailing","Sailing Mixed One Person Dinghy","None"
"80",124561,"Herman Van Duyzen","Male",25,175,70,"Belgium","BEL","1924 Summer",1924,"Summer","Paris","Wrestling","Wrestling Men's Lightweight, Freestyle","None"
"81",124562,"John Lawrence van Dyke","Male",36,178,72,"United States","USA","1972 Summer",1972,"Summer","Munich","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","None"
"82",124563,"Amy Deloris Van Dyken (-Rouen)","Female",23,183,74,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 50 metres Freestyle","Gold"
"83",124563,"Amy Deloris Van Dyken (-Rouen)","Female",23,183,74,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 100 metres Freestyle","None"
"84",124563,"Amy Deloris Van Dyken (-Rouen)","Female",23,183,74,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Gold"
"85",124563,"Amy Deloris Van Dyken (-Rouen)","Female",23,183,74,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 100 metres Butterfly","Gold"
"86",124563,"Amy Deloris Van Dyken (-Rouen)","Female",23,183,74,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"87",124563,"Amy Deloris Van Dyken (-Rouen)","Female",27,183,74,"United States","USA","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 50 metres Freestyle","None"
"88",124563,"Amy Deloris Van Dyken (-Rouen)","Female",27,183,74,"United States","USA","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Gold"
"89",124563,"Amy Deloris Van Dyken (-Rouen)","Female",27,183,74,"United States","USA","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
"90",124564,"Pieter Maarten van Ede","Male",26,197,95,"Netherlands","NED","1992 Summer",1992,"Summer","Barcelona","Hockey","Hockey Men's Hockey","None"
"91",124565,"Christian ""Chris"" van Eeden","Male",19,191,72,"West Germany","FRG","1976 Summer",1976,"Summer","Montreal","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","None"
"92",124566,"Gilbert Van Eesbeeck","Male",23,175,70,"Belgium","BEL","1976 Winter",1976,"Winter","Innsbruck","Speed Skating","Speed Skating Men's 1,500 metres","None"
"93",124566,"Gilbert Van Eesbeeck","Male",23,175,70,"Belgium","BEL","1976 Winter",1976,"Winter","Innsbruck","Speed Skating","Speed Skating Men's 5,000 metres","None"
"94",124567,"Derk Jan van Egmond","Male",27,175,70,"Netherlands","NED","1984 Summer",1984,"Summer","Los Angeles","Cycling","Cycling Men's Points Race","None"
"95",124568,"Emily Louise Van Egmond","Female",23,179,65,"Australia","AUS","2016 Summer",2016,"Summer","Rio de Janeiro","Football","Football Women's Football","None"
"96",124569,"Gary Van Egmond","Male",23,175,70,"Australia","AUS","1988 Summer",1988,"Summer","Seoul","Football","Football Men's Football","None"
"97",124570,"Jacobus Johannes ""Jacques"" van Egmond","Male",24,193,70,"Netherlands","NED","1932 Summer",1932,"Summer","Los Angeles","Cycling","Cycling Men's Sprint","Gold"
"98",124570,"Jacobus Johannes ""Jacques"" van Egmond","Male",24,193,70,"Netherlands","NED","1932 Summer",1932,"Summer","Los Angeles","Cycling","Cycling Men's 1,000 metres Time Trial","Silver"
"99",124570,"Jacobus Johannes ""Jacques"" van Egmond","Male",24,193,70,"Netherlands","NED","1932 Summer",1932,"Summer","Los Angeles","Cycling","Cycling Men's Tandem Sprint, 2,000 metres","None"
"100",124571,"Petrus Johannes ""Piet"" van Egmond","Male",46,175,70,"Netherlands","NED","1936 Summer",1936,"Summer","Berlin","Art Competitions","Art Competitions Mixed Painting, Unknown Event","None"
"101",124572,"Jan van Eijden","Male",24,173,78,"Germany","GER","2000 Summer",2000,"Summer","Sydney","Cycling","Cycling Men's Sprint","None"
"102",124572,"Jan van Eijden","Male",24,173,78,"Germany","GER","2000 Summer",2000,"Summer","Sydney","Cycling","Cycling Men's Keirin","None"
"103",124573,"Gerardus Hubertus Wilhelmus ""Geert"" van Eijk","Male",27,170,64,"Netherlands","NED","1976 Summer",1976,"Summer","Montreal","Hockey","Hockey Men's Hockey","None"
"104",124574,"Dirkje ""Dicky"" van Ekris (-Kloek)","Female",15,175,70,"Netherlands","NED","1948 Summer",1948,"Summer","London","Swimming","Swimming Women's 100 metres Backstroke","None"
"105",124575,"Anicka van Emden","Female",29,169,63,"Netherlands","NED","2016 Summer",2016,"Summer","Rio de Janeiro","Judo","Judo Women's Half-Middleweight","Bronze"
"106",124576,"Cornelia Maria ""Cocki"" van Engelsdorp Gastelaars (-Garretsen)","Female",22,170,67,"Netherlands","NED","1960 Summer",1960,"Summer","Roma","Swimming","Swimming Women's 100 metres Freestyle","None"
"107",124576,"Cornelia Maria ""Cocki"" van Engelsdorp Gastelaars (-Garretsen)","Female",22,170,67,"Netherlands","NED","1960 Summer",1960,"Summer","Roma","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","None"
"108",124577,"Gerard Cornelis ""Gee"" van Enst","Male",23,190,90,"Netherlands","NED","1968 Summer",1968,"Summer","Mexico City","Rowing","Rowing Men's Coxed Eights","None"
"109",124578,"Sondra Van Ert","Female",33,175,66,"United States","USA","1998 Winter",1998,"Winter","Nagano","Snowboarding","Snowboarding Women's Giant Slalom","None"
"110",124578,"Sondra Van Ert","Female",37,175,66,"United States","USA","2002 Winter",2002,"Winter","Salt Lake City","Snowboarding","Snowboarding Women's Parallel Giant Slalom","None"
"111",124579,"Saskia Loretta van Erven Garca","Female",24,175,64,"Colombia","COL","2012 Summer",2012,"Summer","London","Fencing","Fencing Women's Foil, Individual","None"
"112",124579,"Saskia Loretta van Erven Garca","Female",28,175,64,"Colombia","COL","2016 Summer",2016,"Summer","Rio de Janeiro","Fencing","Fencing Women's Foil, Individual","None"
"113",124580,"Jan Willem van Erven Dorens","Male",25,183,80,"Netherlands","NED","1960 Summer",1960,"Summer","Roma","Hockey","Hockey Men's Hockey","None"
"114",124581,"Eduard ""Ed"" van Es","Male",25,175,70,"Netherlands","NED","1984 Summer",1984,"Summer","Los Angeles","Water Polo","Water Polo Men's Water Polo","None"
"115",124582,"Hendrik ""Henk"" van Essen","Male",19,175,70,"Netherlands","NED","1928 Summer",1928,"Summer","Amsterdam","Swimming","Swimming Men's 100 metres Freestyle","None"
"116",124582,"Hendrik ""Henk"" van Essen","Male",19,175,70,"Netherlands","NED","1928 Summer",1928,"Summer","Amsterdam","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","None"
"117",124583,"Harriet van Ettekoven","Female",23,180,69,"Netherlands","NED","1984 Summer",1984,"Summer","Los Angeles","Rowing","Rowing Women's Coxless Pairs","None"
"118",124583,"Harriet van Ettekoven","Female",23,180,69,"Netherlands","NED","1984 Summer",1984,"Summer","Los Angeles","Rowing","Rowing Women's Coxed Eights","Bronze"
"119",124583,"Harriet van Ettekoven","Female",27,180,69,"Netherlands","NED","1988 Summer",1988,"Summer","Seoul","Rowing","Rowing Women's Single Sculls","None"
"120",124583,"Harriet van Ettekoven","Female",31,180,69,"Netherlands","NED","1992 Summer",1992,"Summer","Barcelona","Rowing","Rowing Women's Quadruple Sculls","None"
"121",124584,"Marit van Eupen","Female",30,176,59,"Netherlands","NED","2000 Summer",2000,"Summer","Sydney","Rowing","Rowing Women's Lightweight Double Sculls","None"
"122",124584,"Marit van Eupen","Female",34,176,59,"Netherlands","NED","2004 Summer",2004,"Summer","Athina","Rowing","Rowing Women's Lightweight Double Sculls","Bronze"
"123",124584,"Marit van Eupen","Female",38,176,59,"Netherlands","NED","2008 Summer",2008,"Summer","Beijing","Rowing","Rowing Women's Lightweight Double Sculls","Gold"
"124",124585,"Marie-Paule Van Eyck (-Heymans)","Female",25,168,60,"Belgium","BEL","1976 Summer",1976,"Summer","Montreal","Fencing","Fencing Women's Foil, Individual","None"
"125",124586,"Johanna ""Jannie"" van Eyck-Vos","Female",28,168,60,"Netherlands","NED","1964 Summer",1964,"Summer","Tokyo","Athletics","Athletics Women's 800 metres","None"
"126",124587,"Rudolf Frederik Otto ""Ruud"" van Feggelen","Male",24,175,70,"Netherlands","NED","1948 Summer",1948,"Summer","London","Water Polo","Water Polo Men's Water Polo","Bronze"
"127",124587,"Rudolf Frederik Otto ""Ruud"" van Feggelen","Male",28,175,70,"Netherlands","NED","1952 Summer",1952,"Summer","Helsinki","Water Polo","Water Polo Men's Water Polo","None"
"128",124588,"Nicolaas ""Nico"" van Gageldonk","Male",23,175,70,"Netherlands","NED","1936 Summer",1936,"Summer","Berlin","Cycling","Cycling Men's Road Race, Individual","None"
"129",124588,"Nicolaas ""Nico"" van Gageldonk","Male",23,175,70,"Netherlands","NED","1936 Summer",1936,"Summer","Berlin","Cycling","Cycling Men's Road Race, Team","None"
"130",124589,"Ernst Heinrich ""Hein"" van Garderen","Male",23,175,70,"South Africa","RSA","1992 Summer",1992,"Summer","Barcelona","Fencing","Fencing Men's Foil, Individual","None"
"131",124589,"Ernst Heinrich ""Hein"" van Garderen","Male",23,175,70,"South Africa","RSA","1992 Summer",1992,"Summer","Barcelona","Fencing","Fencing Men's epee, Individual","None"
"132",124589,"Ernst Heinrich ""Hein"" van Garderen","Male",23,175,70,"South Africa","RSA","1992 Summer",1992,"Summer","Barcelona","Fencing","Fencing Men's Sabre, Individual","None"
"133",124590,"Tejay van Garderen (Vangarderen-)","Male",23,185,70,"United States","USA","2012 Summer",2012,"Summer","London","Cycling","Cycling Men's Road Race, Individual","None"
"134",124591,"Johannes van Gastel","Male",46,175,70,"Netherlands","NED","1900 Summer",1900,"Summer","Paris","Archery","Archery Men's Unknown Event","None"
"135",124592,"Johannes Jacobus ""Jo"" van Gastel, Jr.","Male",33,175,70,"Netherlands","NED","1920 Summer",1920,"Summer","Antwerpen","Archery","Archery Men's Target Archery, 28 metres, Team","Gold"
"136",124593,"Cornelis Johannes Martijn van Geemen","Male",24,180,68,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Sailing","Sailing Men's Windsurfer","None"
"137",124594,"Alexander van Geen","Male",32,175,70,"Netherlands","NED","1936 Summer",1936,"Summer","Berlin","Modern Pentathlon","Modern Pentathlon Men's Individual","None"
"138",124595,"Jean-Claude Van Geenberghe","Male",25,181,73,"Belgium","BEL","1988 Summer",1988,"Summer","Seoul","Equestrianism","Equestrianism Mixed Jumping, Individual","None"
"139",124595,"Jean-Claude Van Geenberghe","Male",29,181,73,"Belgium","BEL","1992 Summer",1992,"Summer","Barcelona","Equestrianism","Equestrianism Mixed Jumping, Individual","None"
"140",124595,"Jean-Claude Van Geenberghe","Male",29,181,73,"Belgium","BEL","1992 Summer",1992,"Summer","Barcelona","Equestrianism","Equestrianism Mixed Jumping, Team","None"
"141",124595,"Jean-Claude Van Geenberghe","Male",45,181,73,"Ukraine","UKR","2008 Summer",2008,"Summer","Beijing","Equestrianism","Equestrianism Mixed Jumping, Individual","None"
"142",124595,"Jean-Claude Van Geenberghe","Male",45,181,73,"Ukraine","UKR","2008 Summer",2008,"Summer","Beijing","Equestrianism","Equestrianism Mixed Jumping, Team","None"
"143",124596,"Anna Maria van Geene (-Zwart)","Female",20,175,70,"Netherlands","NED","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Women's Team All-Around","None"
"144",124597,"Marianne Antoinette ""Miek"" van Geenhuizen","Female",22,166,63,"Netherlands","NED","2004 Summer",2004,"Summer","Athina","Hockey","Hockey Women's Hockey","Silver"
"145",124597,"Marianne Antoinette ""Miek"" van Geenhuizen","Female",26,166,63,"Netherlands","NED","2008 Summer",2008,"Summer","Beijing","Hockey","Hockey Women's Hockey","Gold"
"146",124598,"Margot van Geffen","Female",22,172,63,"Netherlands","NED","2012 Summer",2012,"Summer","London","Hockey","Hockey Women's Hockey","Gold"
"147",124598,"Margot van Geffen","Female",26,172,63,"Netherlands","NED","2016 Summer",2016,"Summer","Rio de Janeiro","Hockey","Hockey Women's Hockey","Silver"
"148",124599,"Cornelia ""Cor"" van Gelder (-de Groot)","Female",24,175,70,"Netherlands","NED","1928 Summer",1928,"Summer","Amsterdam","Swimming","Swimming Women's 200 metres Breaststroke","None"
"149",124600,"David van Gelder","Male",20,179,75,"Israel","ISR","1960 Summer",1960,"Summer","Roma","Fencing","Fencing Men's Sabre, Individual","None"
"150",124601,"Marcus ""Max"" van Gelder","Male",27,175,70,"Netherlands","NED","1952 Summer",1952,"Summer","Helsinki","Water Polo","Water Polo Men's Water Polo","None"
"151",124602,"Martinus ""Tinus"" van Gelder","Male",36,175,70,"Netherlands","NED","1948 Summer",1948,"Summer","London","Cycling","Cycling Men's Tandem Sprint, 2,000 metres","None"
"152",124603,"Lambertus Hendrikus Yuri van Gelder","Male",33,161,62,"Netherlands","NED","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Team All-Around","None"
"153",124603,"Lambertus Hendrikus Yuri van Gelder","Male",33,161,62,"Netherlands","NED","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Rings","None"
"154",124604,"Hendrik Theodorus Petrus ""Dirk-Jan"" van Gendt","Male",30,185,76,"Netherlands","NED","2004 Summer",2004,"Summer","Athina","Volleyball","Volleyball Men's Volleyball","None"
"155",124605,"Twan Machiel Johannes van Gendt","Male",20,178,85,"Netherlands","NED","2012 Summer",2012,"Summer","London","Cycling","Cycling Men's BMX","None"
